filename,mapped_symbol,bars,r_max_pnl_pct,r_robust_mean_pct,r_mean_topk_including_max_pct,robust_top_k,pnl_usd_at_max,pnl_usd_at_robust,trades_at_max,trades_at_robust,max_dd_usd_at_max
"BATS_AAPL, 1000T_ba0bb.csv",AAPL,39836,0.21,0.21,0.205,10,160.22,160.22,8718,8718,7.35
"BATS_ETHA, 1000T_86714.csv",ETHA,5713,0.83,0.827,0.829,10,15.44,15.01,805,808,2.11
"BATS_NVDA, 1000T_e2d5a.csv",NVDA,40000,0.15,0.161,0.155,10,113.41,106.97,9232,8987,4.05
"BATS_TSLA, 1000T_a6cb6.csv",TSLA,40000,0.25,0.25,0.245,10,408.47,408.47,9059,9059,19.85
"BINANCE_BNBUSDT, 1000T_afef4.csv",BNB-USD,40000,0.15,0.15,0.155,10,474.37,474.37,9254,9254,17.05
"BINANCE_SOLUSDT, 1000T_cd9f7.csv",SOL-USD,40001,0.23,0.252,0.245,10,103.01,84.34,10210,9897,5.48
"BINANCE_XRPUSDT, 1000T_01db3.csv",XRP-USD,40000,0.22,0.253,0.245,10,1.41,1.36,10609,10233,0.12
"CAPITALCOM_RTY, 1000T_ab53e.csv",RTY=F,40000,0.22,0.22,0.215,10,129360.23,129360.23,10940,10940,4671.29
"CAPITALCOM_US100, 1000T_9544a.csv",US100_CF,40000,0.08,0.694,0.592,10,96128.5,-77922.8,10184,309,13251.29
"CBOT_DL_ZN1!, 1000T_521c6.csv",ZN=F,11553,0.21,0.292,0.279,10,49.87,22.83,161,28,21.88
"CBOT_MINI_DL_YM1!, 1000T_15e18.csv",YM=F,7823,0.11,0.145,0.138,10,35017.26,28818.66,2312,2185,3657.51
"CME_DL_6E1!, 1000T_4722d.csv",6E=F,4369,0.09,0.301,0.298,10,0.32,-0.03,1218,235,0.1
"CME_DL_6J1!, 1000T_a8fd3.csv",6J=F,3390,0.14,0.535,0.455,10,0.0,-0.0,816,116,0.0
"CME_MINI_DL_ES1!, 1000T_b9d51.csv",ES=F,40001,0.08,0.546,0.499,10,42824.15,7929.49,9479,70,10447.43
"CME_MINI_DL_NQ1!, 1000T_d7e18.csv",NQ=F,37001,0.08,0.35,0.301,10,196198.83,-106636.24,10300,1393,7053.36
"COINBASE_BTCUSD, 1000T_7dd14.csv",BTC-USD,40002,0.11,0.209,0.125,10,39422.48,-13142.1,10150,6185,1276.24
"COINBASE_ETHUSD, 1000T_60836.csv",ETH-USD,40000,0.18,0.191,0.185,10,1930.54,1883.62,11210,10999,75.3
"COMEX_DL_GC1!, 1000T_944d7.csv",GC=F,8009,0.28,0.278,0.285,10,15025.68,14426.68,2185,2200,1900.75
"COMEX_DL_SI1!, 1000T_d4ebe.csv",SI=F,1498,1.12,1.135,1.133,10,826.57,768.58,357,353,81.87
"KRX_DLY_K2I1!, 1000T_f41ac.csv",K2=F,13291,0.2,0.222,0.216,10,72136343.6,61071721.64,2557,2400,4286899.67
"NYMEX_DL_CL1!, 1000T_bcbcb.csv",CL=F,6460,0.51,0.465,0.473,10,539.47,529.04,1776,1854,46.23
"OANDA_EURUSD, 1000T_15af5.csv",EURUSD=X,40000,0.3,0.518,0.484,10,0.02,0.0,338,26,0.03
